bwv,key
0202,G major
0205,D major
0212,G major
0232,B minor
0243,D major
0243,E flat major
0525,E flat major
0529,C major
0530,G major
0532,D major
0533,E minor
0537,C minor
0539,D minor
0543,A minor
0549,C minor
0552,E flat major
0572,G major
0582,C minor
0588,D minor
0630,D minor
0639,F minor
0640,E minor
0651,F major
0652,G major
0653,G major
0654,E flat major
0655,G major
0656,A major
0657,G major
0658,F minor
0659,G minor
0660,G minor
0661,G minor
0662,A major
0663,G major
0664,A major
0665,E minor
0666,E minor
0667,C major
0668,G major
0772,C major
0773,C minor
0774,D major
0775,D minor
0776,E flat major
0777,E major
0778,E minor
0779,F major
0780,F minor
0781,G major
0782,G minor
0783,A major
0784,A minor
0785,B flat major
0786,B minor
0787,C major
0788,C minor
0789,D major
0790,D minor
0791,E flat major
0792,E major
0793,E minor
0794,F major
0795,F minor
0796,G major
0797,G minor
0798,A major
0799,A minor
0800,B flat major
0801,B minor
0802,E minor
0803,F major
0804,G major
0805,A minor
0806,A major
0807,A minor
0808,G minor
0809,F major
0810,E minor
0811,D minor
0812,D minor
0813,C minor
0814,B minor
0815,E flat major
0816,G major
0817,E major
0818,A minor
0819,E flat major
0820,F major
0823,F minor
0825,B flat major
0826,C minor
0827,A minor
0828,D major
0829,G major
0830,E minor
0832,A major
0833,F major
0841,G major
0846,C major
0847,C minor
0848,C sharp major
0849,C sharp minor
0850,D major
0851,D minor
0852,E flat major
0854,E major
0855,E minor
0856,F major
0857,F minor
0858,F sharp major
0859,F sharp minor
0860,G major
0861,G minor
0862,A flat major
0863,G sharp minor
0864,A major
0865,A minor
0866,B flat major
0867,B flat minor
0868,B major
0869,B minor
0870,C major
0870,C major
0870,C major
0871,C minor
0872,C sharp major
0873,C sharp minor
0874,D major
0875,D minor
0876,E flat major
0877,D sharp minor
0878,E major
0879,E minor
0880,F major
0881,F minor
0882,F sharp major
0883,F sharp minor
0884,G major
0885,G minor
0886,A flat major
0887,G sharp minor
0888,A major
0889,A minor
0890,B flat major
0891,B flat minor
0892,B major
0893,B minor
0894,A minor
0895,A minor
0899,D minor
0900,E minor
0901,F major
0903,D minor
0906,C minor
0910,F sharp minor
0911,C minor
0912,D major
0913,D minor
0914,E minor
0915,G minor
0916,G major
0963,D major
0965,A minor
0966,A minor
0967,A minor
0971,F major
0972,D major
0973,G major
0974,D minor
0975,G minor
0976,C major
0977,C major
0978,F major
0979,B minor
0980,G major
0981,C minor
0982,B flat major
0983,G minor
0984,C major
0985,G minor
0986,G minor
0987,D minor
0988,G major
0989,A minor
0992,B flat major
0993,E major
0997,C minor
0998,E flat major
1000,G minor
1002,B minor
1003,A minor
1004,D minor
1005,C major
1006,E major
1006,E major
1007,G major
1008,D minor
1009,C major
1010,E flat major
1011,C minor
1012,D major
1013,A minor
1014,B minor
1015,A major
1016,E major
1017,C minor
1018,F minor
1019,G major
1027,G major
1028,D major
1029,G minor
1041,A minor
1046,F major
1052,D minor
1060,C minor
1062,C minor
1063,D minor
1066,C major
1067,B minor
1068,D major
1069,D major
1072,D major
1073,A minor
1074,A minor
1075,D major
1076,G major
1077,G major
1078,F major
1086,D major
1087,G major
